+-----------------------------------------------------------------------------------+----+----------+
|name                                                                               |year|profit    |
|Exodus: Gods and Kings                                                             |2014|128031828 |
|Dumb and Dumber To                                                                 |2014|129837010 |
|Repentance                                                                         |2014|-3810388  |
|The Theory of Everything                                                           |2014|108726688 |
|Aanrijding in Moscou                                                               |2008|940000    |
|Dolphin Tale 2                                                                     |2014|16424533  |
|When the Game Stands Tall                                                          |2014|15127963  |
|Aashiqui 2                                                                         |2013|14700000  |
|Gåten Ragnarok                                                                     |2013|-2778655  |
|２０世紀少年< 第1章> 終わりの始まり                                                |2008|11244858  |
|Beyond the Lights                                                                  |2014|7618727   |
|In the Heart of the Sea                                                            |2015|-6179242  |
|Jurassic World                                                                     |2015|1363528810|
|내 깡패 같은 애인                                                                  |2010|3414668   |
|Horrible Bosses 2                                                                  |2014|65670357  |
|ಲೂಸಿಯಾ                                                                             |2013|91000     |
|Penguins of Madagascar                                                             |2014|241552094 |
|Black or White                                                                     |2014|12571189  |
|The Water Diviner                                                                  |2014|-6979977  |
|Still Alice                                                                        |2014|38884652  |
|Paddington                                                                         |2014|204207227 |
|Maze Runner: The Scorch Trials                                                     |2015|250256926 |
|Clouds of Sils Maria                                                               |2014|-4748483  |
|Трудно быть богом                                                                  |2013|-5689327  |
|Kill the Messenger                                                                 |2014|-2549154  |
|The Face of Love                                                                   |2013|-3649994  |
|The Hobbit: The Battle of the Five Armies                                          |2014|706019788 |
|Selma                                                                              |2014|46787908  |
|Unbroken                                                                           |2014|98442937  |
|Fat Pizza                                                                          |2003|7488102   |
|Khumba                                                                             |2013|7187375   |
|A Girl Walks Home Alone at Night                                                   |2014|-605000   |
|Mommy                                                                              |2014|-1405930  |
|A Most Violent Year                                                                |2014|-7992930  |
|Wild                                                                               |2014|37501541  |
|Big Eyes                                                                           |2014|18883511  |
|Into the Woods                                                                     |2014|162902372 |
|The Interview                                                                      |2014|-31657368 |
|Kingsman: The Secret Service                                                       |2015|333351546 |
|Night at the Museum: Secret of the Tomb                                            |2014|222424282 |
|Madea's Big Happy Family                                                           |2011|28213633  |
|Seventh Son                                                                        |2014|19178613  |
|Glyanets                                                                           |2007|2184165   |
|Fishtales                                                                          |2007|-13990784 |
|Annie                                                                              |2014|68821816  |
|PK                                                                                 |2014|107000000 |
|Foodfight!                                                                         |2012|-64926294 |
|ദൃശ്യം                                                                             |2013|11250000  |
|Chappie                                                                            |2015|55399548  |
|Gimme Shelter                                                                      |2013|-6140090  |
|Taken 3                                                                            |2014|277771424 |
|Blackhat                                                                           |2015|-52247060 |
|Terminator Genisys                                                                 |2015|285603537 |
|The Woman in Black 2: Angel of Death                                               |2014|25501323  |
|Viy                                                                                |2014|8592118   |
|Justin Bieber: Never Say Never                                                     |2011|85441954  |
|Nurse 3-D                                                                          |2013|9999990   |
|Las aventuras de Tadeo Jones                                                       |2012|12500000  |
|Nothing Left to Fear                                                               |2013|-1324619  |
|It Follows                                                                         |2015|12674076  |
|베를린                                                                             |2013|39965210  |
|Peter and Vandy                                                                    |2009|-488724   |
|Kandagar                                                                           |2010|8172408   |
|Torrente 5: Operación Eurovegas                                                    |2014|2399926   |
|Mad Max: Fury Road                                                                 |2015|228858340 |
|Insidious: Chapter 3                                                               |2015|94303851  |
|Star Wars: The Force Awakens                                                       |2015|1823223624|
|Ben-Hur                                                                            |2016|-5938689  |
|Warcraft                                                                           |2016|273677183 |
|Avengers: Age of Ultron                                                            |2015|1125403694|
|Pirates of the Caribbean: Dead Men Tell No Tales                                   |2017|564191988 |
|Ant-Man                                                                            |2015|389311965 |
|Fantastic Four                                                                     |2015|47977596  |
|Deadpool                                                                           |2016|725112979 |
|Guardians of the Galaxy Vol. 2                                                     |2017|663416141 |
|Captain America: Civil War                                                         |2016|903304495 |
|Doctor Strange                                                                     |2016|512718395 |
|X-Men: Apocalypse                                                                  |2016|365934787 |
|Cloclo                                                                             |2012|1629934   |
|The Derby Stallion                                                                 |2005|3250000   |
|Cake                                                                               |2014|-4639719  |
|Снежная королева                                                                   |2012|5400000   |
|The Gambler                                                                        |2014|14171130  |
|Mortdecai                                                                          |2015|-29581440 |
|Fifty Shades of Grey                                                               |2015|531006128 |
|The DUFF                                                                           |2015|35028634  |
|Hross í oss                                                                        |2013|1         |
|Project Almanac                                                                    |2015|20248241  |
|Brooklyn                                                                           |2015|51076141  |
|A Walk in the Woods                                                                |2015|27991087  |
|99 Homes                                                                           |2014|-6588073  |
|Aloft                                                                              |2014|-7946914  |
|The Bronze                                                                         |2016|-2884184  |
|The D Train                                                                        |2015|323793    |
|The Diary of a Teenage Girl                                                        |2015|-522998   |
|Dope                                                                               |2015|17286781  |
|Miss Julie                                                                         |2014|-500000   |
|The Loft                                                                           |2014|-3923210  |
|Lost River                                                                         |2015|-1954569  |
|Italiano medio                                                                     |2015|2725080   |
|The Hateful Eight                                                                  |2015|111760117 |
|Paper Towns                                                                        |2015|73512300  |
|The Wedding Ringer                                                                 |2015|56799880  |
|The Boy Next Door                                                                  |2015|48425855  |
|Crimson Peak                                                                       |2015|19679822  |
|Hot Tub Time Machine 2                                                             |2015|-1685349  |
|Focus                                                                              |2015|103862963 |
|The SpongeBob Movie: Sponge Out of Water                                           |2015|237594032 |
|Demonic                                                                            |2015|387000    |
|The Second Best Exotic Marigold Hotel                                              |2015|75978266  |
|Tracers                                                                            |2015|-10406317 |
|狼图腾                                                                             |2015|85205624  |
|The Lazarus Effect                                                                 |2015|60810728  |
|Unfinished Business                                                                |2015|-20568747 |
|ДухLess                                                                            |2012|10418980  |
|रान्झाना                                                                           |2013|11600000  |
|Run All Night                                                                      |2015|21561644  |
|STAND BY ME ドラえもん                                                             |2014|48061158  |
|Cinderella                                                                         |2015|448514353 |
|Poltergeist                                                                        |2015|60437994  |
|Pan                                                                                |2015|-21611680 |
|While We're Young                                                                  |2015|-2412515  |
|Suite Française                                                                    |2014|-5895284  |
|Insurgent                                                                          |2015|185238201 |
|Big Game                                                                           |2014|-1000000  |
|La vérité si je mens !                                                             |1997|25456000  |
|Home                                                                               |2015|233871007 |
|Midnight Special                                                                   |2016|-11787718 |
|The Gunman                                                                         |2015|-26355708 |
|Escobar: Paradise Lost                                                             |2014|-13241672 |
|Furious 7                                                                          |2015|1316249360|
|Unfriended                                                                         |2015|61882090  |
|Child 44                                                                           |2015|-46675670 |
|Get Hard                                                                           |2015|71811453  |
|О чём говорят мужчины                                                              |2010|10055838  |
|一個人的武林                                                                       |2014|-24870885 |
|Infinitely Polar Bear                                                              |2014|-5269345  |
|Woman in Gold                                                                      |2015|50619773  |
|Samba                                                                              |2014|-19848470 |
|Белка и Стрелка. Звёздные собаки                                                   |2010|-18500000 |
|Tomorrowland                                                                       |2015|19154322  |
|Viva la libertà                                                                    |2013|-4951875  |
|Paul Blart: Mall Cop 2                                                             |2015|69597242  |
|Parts Per Billion                                                                  |2014|14500000  |
|명량                                                                               |2014|102656811 |
|The Longest Ride                                                                   |2015|29013281  |
|The Age of Adaline                                                                 |2015|40663276  |
|Danny Collins                                                                      |2015|835752    |
|Grandma                                                                            |2015|6487452   |
|50 to 1                                                                            |2014|-8935546  |
|Barbecue                                                                           |2014|8348529   |
|San Andreas                                                                        |2015|360490832 |
|회사원                                                                             |2012|3839398   |
|Hitman: Agent 47                                                                   |2015|46967450  |
|Jimmy P.                                                                           |2013|-9969717  |
|Ricki and the Flash                                                                |2015|23325328  |
|Piku                                                                               |2015|16659216  |
|Pitch Perfect 2                                                                    |2015|258506194 |
|Carol                                                                              |2015|28472135  |
|Strangerland                                                                       |2015|-9982528  |
|The Lobster                                                                        |2015|11656193  |
|Maggie                                                                             |2015|-3812888  |
|Hot Pursuit                                                                        |2015|16680201  |
|The Green Inferno                                                                  |2014|1833445   |
|Voditel dlya Very                                                                  |2004|-1288163  |
|Плюс один                                                                          |2008|591248    |
|The Martian                                                                        |2015|522161890 |
|बदलापुर                                                                            |2015|7780000   |
|Youth                                                                              |2015|-11360000 |
|Wake Up Sid                                                                        |2009|8000000   |
|Sarkar                                                                             |2005|4000000   |
|Spy                                                                                |2015|170666219 |
|Trainwreck                                                                         |2015|105795793 |
|Aloha                                                                              |2015|-10749980 |
|Tutto tutto niente niente                                                          |2012|3347850   |
|Song One                                                                           |2014|-5967749  |
|天將雄師                                                                           |2015|56545703  |
|Mere Brother Ki Dulhan                                                             |2011|12540000  |
|Entourage                                                                          |2015|19263404  |
|5 Flights Up                                                                       |2014|-4979079  |
|Inside Out                                                                         |2015|682611174 |
|Tanu Weds Manu                                                                     |2011|-148000   |
|The Hunger Games: Mockingjay - Part 2                                              |2015|493428261 |
|Max                                                                                |2015|23967255  |
|Pixels                                                                             |2015|155637091 |
|Allegiant                                                                          |2016|69246868  |
|Fantastic Beasts and Where to Find Them                                            |2016|629342332 |
|Madras Cafe                                                                        |2013|1100000   |
|The Secret Life of Pets                                                            |2016|800457937 |
|Белый тигр                                                                         |2012|-3800000  |
|Gabbar Is Back                                                                     |2015|30000000  |
|Little Boy                                                                         |2015|-13514039 |
|Self/less                                                                          |2015|4523226   |
|Criminal                                                                           |2016|-16791304 |
|The Last Witch Hunter                                                              |2015|56936910  |
|Krampus                                                                            |2015|46548707  |
|Suicide Squad                                                                      |2016|570600054 |
|Bluffmaster!                                                                       |2005|5309930   |
|Independence Day: Resurgence                                                       |2016|224681935 |
|Star Trek Beyond                                                                   |2016|158471816 |
|Pizza                                                                              |2012|2560000   |
|Rockstar                                                                           |2011|8740000   |
|Zohi Sdom                                                                          |2010|3105000   |
|Kaminey                                                                            |2009|9130000   |
|Company                                                                            |2002|4500000   |
|விஸ்வரூபம்                                                                         |2013|34000000  |
|Shootout at Lokhandwala                                                            |2007|1000000   |
|Josh                                                                               |2000|8100000   |
|धूम ३                                                                              |2013|71500000  |
|Dhoom 2                                                                            |2006|35396427  |
|Ted 2                                                                              |2015|149022588 |
|Minions                                                                            |2015|1082730962|
|The Good Dinosaur                                                                  |2015|156926147 |
|Black Mass                                                                         |2015|45837872  |
|Spectre                                                                            |2015|635674609 |
|Steve Jobs                                                                         |2015|4441873   |
|Macbeth                                                                            |2015|-2398294  |
|Vacation                                                                           |2015|73384188  |
|Manglehorn                                                                         |2015|-3856899  |
|Shabd                                                                              |2005|600000    |
|Batman v Superman: Dawn of Justice                                                 |2016|623260194 |
|Gemma Bovery                                                                       |2014|-9545299  |
|Lyubov V Bolshom Gorode                                                            |2009|5612193   |
|Magic Mike XXL                                                                     |2015|107713057 |
|The Jungle Book                                                                    |2016|791550600 |
|ドラゴンボールZ 復活の「F」                                                        |2015|56768190  |
|बॉम्बे वेलवेट                                                                      |2015|-16500000 |
|The Man from U.N.C.L.E.                                                            |2015|33145109  |
|Treehouse                                                                          |2014|0         |
|The Walk                                                                           |2015|26181942  |
|13 Hours: The Secret Soldiers of Benghazi                                          |2016|19411370  |
|Sous les jupes des filles                                                          |2014|7058187   |
|Benvenuti al nord                                                                  |2012|29000000  |
|Il peggior Natale della mia vita                                                   |2012|3859734   |
|La peggior settimana della mia vita                                                |2011|1935800   |
|Tutta la vita davanti                                                              |2008|-1690000  |
|Opposite Sex                                                                       |2014|-3255000  |
|The Gallows                                                                        |2015|42564410  |
|Dark Places                                                                        |2015|-19791412 |
|Mustang                                                                            |2015|-1050000  |
|Soodhu Kavvum                                                                      |2013|11690000  |
|Bajrangi Bhaijaan                                                                  |2015|84000000  |
|The Revenant                                                                       |2015|397950503 |
|Irrational Man                                                                     |2015|16391084  |
|Baahubali: The Beginning                                                           |2015|60000000  |
|Southpaw                                                                           |2015|61709827  |
|Sicario                                                                            |2015|54025816  |
|Anomalisa                                                                          |2015|-2340714  |
|Colonia                                                                            |2016|-10378954 |
|The Vatican Tapes                                                                  |2015|-11215237 |
|The Intern                                                                         |2015|159564672 |
|Love                                                                               |2015|-2750917  |
|Room                                                                               |2015|29401758  |
|The Gift                                                                           |2015|53978653  |
|The Witch                                                                          |2016|36923945  |
|3 Generations                                                                      |2016|-4556038  |
|Zaytoun                                                                            |2012|-7957670  |
|The Visit                                                                          |2015|93450062  |
|Secret in Their Eyes                                                               |2015|15354990  |
|Sinister 2                                                                         |2015|42882018  |
|American Ultra                                                                     |2015|-860476   |
|No Escape                                                                          |2015|49418872  |
|Straight Outta Compton                                                             |2015|173634991 |
|Tangerine                                                                          |2015|602354    |
|Joy                                                                                |2015|41134059  |
|Taras Bulba                                                                        |2009|-8184108  |
|Victor Frankenstein                                                                |2015|-5772702  |
|Sholem Aleichem: Laughing In The Darkness                                          |2012|345188    |
|The Angrez                                                                         |2006|250000    |
|Captive                                                                            |2012|13411     |
|Equals                                                                             |2015|-13915372 |
|Scouts Guide to the Zombie Apocalypse                                              |2015|-139234   |
|Suffragette                                                                        |2015|2002420   |
|We Are Your Friends                                                                |2015|5122090   |
|War Room                                                                           |2015|64790117  |
|Legend                                                                             |2015|17972994  |
|The Danish Girl                                                                    |2015|49191523  |
|Green Room                                                                         |2016|-1779629  |
|Beasts of No Nation                                                                |2015|3077700   |
|The Lady in the Van                                                                |2015|35387687  |
|Zid                                                                                |2014|-287893   |
|The Transporter Refueled                                                           |2015|47629670  |
|La Vérité si je Mens ! 3                                                           |2012|15428353  |
|La Vérité si je Mens ! 2                                                           |2001|30140000  |
|Knock Knock                                                                        |2015|3841684   |
|Космос как предчувствие                                                            |2005|-1303319  |
|도가니                                                                             |2011|29300000  |
|The House of Usher                                                                 |2007|-128323   |
|Demolition                                                                         |2016|-8021408  |
|Our Brand Is Crisis                                                                |2015|-20997739 |
|Agneepath                                                                          |2012|37931000  |
|Cocktail                                                                           |2012|12400000  |
|刺客聶隱娘                                                                         |2015|-14367458 |
|The Night Before                                                                   |2015|27395996  |
|Everest                                                                            |2015|148427584 |
|捉妖记                                                                             |2015|345284817 |
|Spotlight                                                                          |2015|68346473  |
|Saul fia                                                                           |2015|777043    |
|Pawn Sacrifice                                                                     |2015|-13421481 |
|Hardcore Henry                                                                     |2015|4333790   |
|Burnt                                                                              |2015|16606743  |
|Lootera                                                                            |2013|200000    |
|ബാംഗ്ലൂർ ഡെയ്സ്                                                                    |2014|-6100000  |
|ഓം ശാന്തി ഓശാന                                                                     |2014|1280000   |
|அலைபாயுதே                                                                          |2000|4000000   |
|Vaaranam Aayiram                                                                   |2008|11000000  |
|Hotel Transylvania 2                                                               |2015|393226958 |
|Varalaru                                                                           |2006|0         |
|Freeheld                                                                           |2015|-6426665  |
|By the Sea                                                                         |2015|-6272254  |
|The Little Prince                                                                  |2015|33571250  |
|Wonder Woman                                                                       |2017|671580447 |
|The Circle                                                                         |2017|2497844   |
|Silence                                                                            |2016|-22262477 |
|Bridge of Spies                                                                    |2015|125478348 |
|Cruel World                                                                        |2005|-1983656  |
|Hail Caesar!                                                                       |2016|41647656  |
|Er ist wieder da                                                                   |2015|22317131  |
|La Tête haute                                                                      |2015|-4973856  |
|Clockstoppers                                                                      |2002|12793283  |
|消失的子弹                                                                         |2012|-11882371 |
|Confessions of a Dangerous Mind                                                    |2002|3013805   |
|Goosebumps                                                                         |2015|100162788 |
|Poslednyaya skazka Rity                                                            |2012|286937    |
|The Perfect Guy                                                                    |2015|48273173  |
|Rock the Kasbah                                                                    |2015|-11979336 |
|Momentum                                                                           |2015|-19866668 |
|Aferim!                                                                            |2015|-1274278  |
|Paranormal Activity: The Ghost Dimension                                           |2015|68096553  |
|Jem and the Holograms                                                              |2015|-2666316  |
|The 33                                                                             |2015|-97277    |
|The Dressmaker                                                                     |2015|6410000   |
|Trumbo                                                                             |2015|-6764339  |
|Lobo Guerreiro                                                                     |2015|68000000  |
|Concussion                                                                         |2015|15363790  |
|The Peanuts Movie                                                                  |2015|147233113 |
|Антикиллер                                                                         |2002|-4659688  |
|Duniyadari                                                                         |2014|-389997   |
|Shikshanachya Aaicha Gho                                                           |2010|140000    |
|Dil To Pagal Hai                                                                   |1997|9700000   |
|Fiza                                                                               |2000|-376209   |
|Creed                                                                              |2015|136567581 |
|William & Kate                                                                     |2011|-5        |
|Lost in the Sun                                                                    |2015|0         |
|Louder Than Bombs                                                                  |2015|-10838211 |
|Heist                                                                              |2015|-4800000  |
|Love the Coopers                                                                   |2015|25426912  |
|प्रेम रतन धन पायो                                                                  |2015|43600000  |
|Быстрее чем кролики                                                                |2014|2279982   |
|Point Break                                                                        |2015|28718711  |
|Recep İvedik                                                                       |2008|4830000   |
|कट्यार काळजात घुसली                                                                |2015|2900000   |
|मैरी कोम                                                                           |2014|15312272  |
|പ്രേമം                                                                             |2015|4800000   |
|The 5th Wave                                                                       |2016|71906372  |
|Le dernier souffle                                                                 |1999|-3240702  |
|Bølgen                                                                             |2015|7071076   |
|西游记之大圣归来                                                                   |2015|140000000 |
|Truth                                                                              |2015|-7058446  |
|The Letters                                                                        |2015|0         |
|The Big Short                                                                      |2015|105346506 |
|ലോഹം                                                                               |2015|1200292   |
|The Legend of Bhagat Singh                                                         |2002|3000000   |
|Zoolander 2                                                                        |2016|5969000   |
|How to Be Single                                                                   |2016|74343513  |
|Fifty Shades of Black                                                              |2016|1164799   |
|Nocturnal Animals                                                                  |2016|6752978   |
|Daddy's Home                                                                       |2015|192786137 |
|Sisters                                                                            |2015|75011053  |
|Kung Fu Panda 3                                                                    |2016|376170825 |
|Bajirao Mastani                                                                    |2015|36500000  |
|F.C. De Kampioenen: Kampioen zijn blijft plezant                                   |2013|3621508   |
|Pride and Prejudice and Zombies                                                    |2016|-11625672 |
|Jane Got a Gun                                                                     |2016|-23602716 |
|Dilwale                                                                            |2015|35000000  |
|Woodlawn                                                                           |2015|2394097   |
|Captive                                                                            |2015|801508    |
|The Forest                                                                         |2016|30055439  |
|रावण                                                                               |2010|-300000   |
|राउडी राठौर                                                                        |2012|24300000  |
|Wazir                                                                              |2016|4000000   |
|Norm of the North                                                                  |2016|-937501   |
|Ride Along 2                                                                       |2016|84827316  |
|Eddie the Eagle                                                                    |2016|23152411  |
|Airlift                                                                            |2016|27500000  |
|Stonewall                                                                          |2015|-13312326 |
|The Boy                                                                            |2016|54188367  |
|90 Minutes in Heaven                                                               |2015|-157301   |
|Risen                                                                              |2016|26069568  |
|Dirty Grandpa                                                                      |2016|82573028  |
|Орлеан                                                                             |2015|-2198000  |
|The Finest Hours                                                                   |2016|-27900910 |
|Поводир                                                                            |2014|-222915   |
|The Birth of a Nation                                                              |2016|7361566   |
|Anjaana Anjaani                                                                    |2010|-500000   |
|Na Maloom Afraad                                                                   |2014|1375314   |
|Me Before You                                                                      |2016|187945075 |
|Triple 9                                                                           |2016|-7360703  |
|Gods of Egypt                                                                      |2016|10680864  |
|El Abrazo de la Serpiente                                                          |2015|-79995    |
|नीरजा                                                                              |2016|-7742574  |
|Race                                                                               |2016|19804129  |
|10 Cloverfield Lane                                                                |2016|93286421  |
|London Has Fallen                                                                  |2016|145754447 |
|Zootopia                                                                           |2016|873784195 |
|Whiskey Tango Foxtrot                                                              |2016|-11916666 |
|The Young Messiah                                                                  |2016|-12009599 |
|Grimsby                                                                            |2016|-9817071  |
|寻龙诀                                                                             |2015|241300000 |
|ना तुम जानो ना हम                                                                  |2002|5750000   |
|葉問3                                                                              |2015|120844753 |
|Garv: Pride and Honour                                                             |2004|9700000   |
|Atrapa la bandera                                                                  |2015|-5693310  |
|تین بہادر                                                                          |2015|501986    |
|Jaane Tu... Ya Jaane Na                                                            |2008|8800000   |
|Bachna Ae Haseeno                                                                  |2008|7200000   |
|Dostana                                                                            |2008|10000000  |
|Phoonk                                                                             |2008|2010000   |
|Gabbar Singh                                                                       |2012|9000000   |
|Eega                                                                               |2012|13460000  |
|99                                                                                 |2009|3600000   |
|Khatta Meetha                                                                      |2010|2500000   |
|Atithi Tum Kab Jaoge                                                               |2010|1250000   |
|Bodyguard                                                                          |2011|-122      |
|Thank You                                                                          |2011|-9000000  |
|Raja Natwarlal                                                                     |2014|-1        |
|Heropanti                                                                          |2014|5800000   |
|'N Beetje Verliefd                                                                 |2006|166214    |
|美人鱼                                                                             |2016|493090228 |
|The Neon Demon                                                                     |2016|-5666876  |
|விண்ணைத்தாண்டி வருவாயா                                                             |2010|9000000   |
|Ayan                                                                               |2009|14769061  |
|Bommarillu                                                                         |2006|4000000   |
|Arundhati                                                                          |2009|11084261  |
|హ్యాపీ డేస్                                                                        |2007|2200709   |
