+-----------------------------------------------------------------------------------+----+----------+
|name                                                                               |year|profit    |
|The Twilight Saga: Eclipse                                                         |2010|630491347 |
|Solitary Man                                                                       |2009|-9975218  |
|Enter the Void                                                                     |2009|-12245751 |
|The Last Airbender                                                                 |2010|168502923 |
|Predators                                                                          |2010|86248813  |
|Despicable Me                                                                      |2010|474513985 |
|Inception                                                                          |2010|665532764 |
|Grown Ups                                                                          |2010|191430189 |
|The Sorcerer's Apprentice                                                          |2010|65283742  |
|Knight and Day                                                                     |2010|144930431 |
|The Karate Kid                                                                     |2010|317852395 |
|The Yellow Handkerchief                                                            |2008|-14683000 |
|The Kids Are All Right                                                             |2010|31205850  |
|Salt                                                                               |2010|183329073 |
|Mr. Nobody                                                                         |2009|-43452791 |
|Dinner for Schmucks                                                                |2010|17387857  |
|Nanny McPhee and the Big Bang                                                      |2010|58246388  |
|葉問2: 宗師傳奇                                                                    |2010|23097191  |
|Charlie St. Cloud                                                                  |2010|4190704   |
|The Other Guys                                                                     |2010|70432927  |
|The Expendables                                                                    |2010|194470394 |
|Scott Pilgrim vs. the World                                                        |2010|-12335441 |
|Animal Kingdom                                                                     |2010|-4000000  |
|Centurion                                                                          |2010|-5185211  |
|Life During Wartime                                                                |2009|-3755184  |
|Piranha 3D                                                                         |2010|59188165  |
|Les Aventures extraordinaires d'Adèle Blanc-Sec                                    |2010|9100000   |
|The Joneses                                                                        |2009|-2977272  |
|TEKKEN                                                                             |2010|-29033000 |
|Narco                                                                              |2004|0         |
|The Last Exorcism                                                                  |2010|65938090  |
|The American                                                                       |2010|45464324  |
|The Switch                                                                         |2010|30830607  |
|The End of Poverty?                                                                |2008|-999943   |
|Machete                                                                            |2010|11327899  |
|Step Up 3D                                                                         |2010|129291809 |
|Going the Distance                                                                 |2010|10045846  |
|Vampires Suck                                                                      |2010|60547866  |
|Resident Evil: Afterlife                                                           |2010|240228084 |
|The Social Network                                                                 |2010|184920315 |
|The Town                                                                           |2010|117026136 |
|Easy A                                                                             |2010|66952305  |
|Eat Pray Love                                                                      |2010|144594016 |
|Howl                                                                               |2010|587000    |
|Flipped                                                                            |2010|-12244788 |
|Wall Street: Money Never Sleeps                                                    |2010|64748021  |
|Legend of the Guardians: The Owls of Ga'Hoole                                      |2010|60073390  |
|Cats & Dogs 2 : The Revenge of Kitty Galore                                        |2010|27483764  |
|It's Kind of a Funny Story                                                         |2010|-1508760  |
|Saint John of Las Vegas                                                            |2009|-3688269  |
|Tere Naam                                                                          |2003|1         |
|Let Me In                                                                          |2010|4145613   |
|Secretariat                                                                        |2010|25251371  |
|Devil                                                                              |2010|23583175  |
|You Again                                                                          |2010|12005248  |
|Life As We Know It                                                                 |2010|67610124  |
|Catfish                                                                            |2010|3015943   |
|Stone                                                                              |2010|-12520282 |
|Inside Job                                                                         |2010|5871522   |
|Monsters                                                                           |2010|3742978   |
|Conviction                                                                         |2010|-5767020  |
|Dirty Girl                                                                         |2010|-3944875  |
|Bran Nue Dae                                                                       |2009|0         |
|Never Let Me Go                                                                    |2010|-5544768  |
|L'illusionniste                                                                    |2010|-12397569 |
|PEEPLI [Live]                                                                      |2010|4630000   |
|Rubber                                                                             |2010|-401983   |
|Shelter                                                                            |2010|-21148483 |
|Jackass 3D                                                                         |2010|97224271  |
|RED                                                                                |2010|13664962  |
|My Soul to Take                                                                    |2010|-5170043  |
|Whisper                                                                            |2007|-6714803  |
|L'arnacoeur                                                                        |2010|38655187  |
|Des hommes et des dieux                                                            |2010|37424067  |
|Paranormal Activity 2                                                              |2010|174512032 |
|Hereafter                                                                          |2010|55197635  |
|Saw 3D                                                                             |2010|116150434 |
|Due Date                                                                           |2010|146780824 |
|127 Hours                                                                          |2010|17692920  |
|Megamind                                                                           |2010|191887208 |
|Black Swan                                                                         |2010|314803731 |
|Fair Game                                                                          |2010|2188922   |
|Unstoppable                                                                        |2010|67805466  |
|Morning Glory                                                                      |2010|18785180  |
|The Next Three Days                                                                |2010|21148651  |
|Wild Target                                                                        |2010|-4546957  |
|Carlos                                                                             |2010|-17128721 |
|Harry Potter and the Deathly Hallows: Part 1                                       |2010|704305868 |
|The King's Speech                                                                  |2010|399211549 |
|Tangled                                                                            |2010|331794936 |
|The Fighter                                                                        |2010|68617009  |
|The Romantics                                                                      |2010|-4376180  |
|The Extra Man                                                                      |2010|-6546921  |
|Casino Jack                                                                        |2010|-11416317 |
|London Boulevard                                                                   |2010|-20355892 |
|Skyline                                                                            |2010|56821036  |
|Beastly                                                                            |2011|26165571  |
|Love & Other Drugs                                                                 |2010|72820008  |
|The Chronicles of Narnia: The Voyage of the Dawn Treader                           |2010|260686217 |
|Tiny Furniture                                                                     |2010|351498    |
|The Tourist                                                                        |2010|178731369 |
|Hatchet II                                                                         |2010|-2447396  |
|Tomorrow When the War Began                                                        |2010|-10495064 |
|True Grit                                                                          |2010|214276927 |
|TRON: Legacy                                                                       |2010|230062763 |
|Another Year                                                                       |2010|10124262  |
|How Do You Know                                                                    |2010|-71331093 |
|Barney's Version                                                                   |2010|-21545699 |
|The Company Men                                                                    |2010|-10117423 |
|Faster                                                                             |2010|-918274   |
|Rabbit Hole                                                                        |2010|129058    |
|Little Fockers                                                                     |2010|210650585 |
|Gulliver's Travels                                                                 |2010|125382724 |
|Balada triste de trompeta                                                          |2010|-3781334  |
|Mao's Last Dancer                                                                  |2009|-4280549  |
|Burlesque                                                                          |2010|34519773  |
|借りぐらしのアリエッティ                                                           |2010|108570827 |
|Tucker and Dale vs Evil                                                            |2010|476793    |
|Yogi Bear                                                                          |2010|121584141 |
|Waste Land                                                                         |2010|-1312284  |
|Last Night                                                                         |2010|644937    |
|The Green Hornet                                                                   |2011|107817248 |
|The Way Back                                                                       |2010|-9651751  |
|The Warrior's Way                                                                  |2010|-30912431 |
|Ghajini                                                                            |2008|66900000  |
|Season of the Witch                                                                |2011|48100000  |
|It's Alive                                                                         |2008|4500000   |
