Nodes,NodeOutDeg,RewireProb,highest_deg_ID,highest_deg_degree,highest_hubscore_ID,highest_hubscore_degree,highest_authscore_ID,highest_authscore_degree,CommunityCNM_time_s,CommunityCNM_modularity,CommunityGirvanNewman_time_s,CommunityGirvanNewman_modularity
50,5,0.06,44,12,38,0.19432960651194056,38,0.19425906169691812,,,0.16399717330932617,0.4375081295525494
150,14,0.74,0,37,0,0.1126845751278101,0,0.11268457512781013,,,35.7726104259491,0.062074285196232405
250,9,0.09,230,22,181,0.08029630854048657,181,0.08028526099065963,,,111.34260416030884,0.12974679374297715
350,6,0.86,313,20,76,0.08959592455055665,76,0.08959592455043403,,,113.88099670410156,0.14773067483404143
450,9,0.31,379,25,410,0.06620967279293857,410,0.06620967204317235,,,247.9370014667511,0.510791454785282
550,8,0.04,194,19,444,0.06629207592218724,444,0.0660932941134412,,,,
650,12,0.69,429,35,429,0.059092920699049534,429,0.05909292069904953,,,,
750,19,0.36,364,50,258,0.04875134957737263,258,0.04875134959355284,,,,
850,13,0.75,585,38,585,0.05102945277360194,585,0.051029452773601935,,,,
