movie_id,year,rev_minus_cost
Great Expectations,1998,30494066.0
Wag the Dog,1997,49256513.0
Dark City,1998,200316.0
Hard Rain,1998,-50129433.0
Half Baked,1998,9460020.0
Shooting Fish,1997,-2697796.0
Spice World,1997,75000000.0
Deep Rising,1998,-33796974.0
The Replacement Killers,1998,-10795071.0
The Night Flier,1997,-908451.0
Blues Brothers 2000,1998,-13948616.0
The Wedding Singer,1998,105306987.0
Sphere,1998,-61900000.0
As Good as It Gets,1997,264178011.0
U.S. Marshals,1998,42367405.0
The Newton Boys,1998,49000000.0
Wild Things,1998,47200000.0
Two Girls and a Guy,1997,1057193.0
The Object of My Affection,1998,31905889.0
Meet the Deedles,1998,-19437854.0
Lost in Space,1998,56159423.0
The Spanish Prisoner,1997,3835130.0
City of Angels,1998,143685114.0
He Got Game,1998,-3432147.0
Zero Effect,1998,-3019662.0
An Alan Smithee Film: Burn Hollywood Burn,1998,-9954221.0
一個好人,1997,6097767.0
Species II,1998,-15834440.0
The Big Hit,1998,14007143.0
Deep Impact,1998,65464664.0
Woo,1998,-4973029.0
Quest for Camelot,1998,-1827500.0
Godzilla,1998,249014294.0
Bulworth,1998,-797116.0
Fear and Loathing in Las Vegas,1998,-7819725.0
The Opposite of Sex,1998,879254.0
A Perfect Murder,1998,68038368.0
Six Days Seven Nights,1998,94000000.0
Can't Hardly Wait,1998,15605015.0
بچه‌های آسمان,1997,720000.0
Mulan,1998,214320254.0
The X Files,1998,123198313.0
Doctor Dolittle,1998,223456605.0
Out of Sight,1998,29745568.0
Buffalo '66,1998,875097.0
Armageddon,1998,413799566.0
Lethal Weapon 4,1998,145444603.0
Small Soldiers,1998,14682547.0
Pi,1998,3161152.0
There's Something About Mary,1998,346884651.0
The Mask of Zorro,1998,155288523.0
Lolita,1997,-60939944.0
Disturbing Behavior,1998,2507368.0
Jane Austen's Mafia!,1998,9000000.0
Saving Private Ryan,1998,411840909.0
The Negotiator,1998,-5452319.0
Halloween: H20,1998,38041738.0
EverAfter,1998,39705772.0
Snake Eyes,1998,30891409.0
First Love Last Rites,1998,-259458.0
The Avengers,1998,-11414584.0
How Stella Got Her Groove Back,1998,17672350.0
Your Friends & Neighbors,1998,-289251.0
Blade,1998,86183530.0
54,1998,3757163.0
I Married a Strange Person!,1998,-47.0
Rounders,1998,10921898.0
Cube,1997,251818.0
Simon Birch,1998,-1746585.0
Without Limits,1998,-24222577.0
Rush Hour,1998,211386864.0
Six-String Samurai,1998,-1875506.0
Ronin,1998,-13389116.0
Urban Legend,1998,58527595.0
Antz,1998,111757863.0
A Night at the Roxbury,1998,13331165.0
What Dreams May Come,1998,-13514957.0
Strangeland,1998,-468779.0
Bride of Chucky,1998,25671850.0
Practical Magic,1998,-28316623.0
Happiness,1998,-192610.0
Soldier,1998,-60432117.0
La vita è bella,1997,209400000.0
American History X,1998,3875127.0
Living Out Loud,1998,902790.0
Gods and Monsters,1998,-3548372.0
The Siege,1998,46672912.0
The Waterboy,1998,162991646.0
Elizabeth,1998,52150642.0
I Still Know What You Did Last Summer,1998,-24997888.0
Meet Joe Black,1998,52940100.0
Enemy of the State,1998,160649836.0
The Rugrats Movie,1998,70491683.0
A Bug's Life,1998,243258859.0
Central do Brasil,1998,2696708.0
Babe: Pig in the City,1998,-20868140.0
Home Fries,1998,-4556684.0
Ringmaster,1998,5747881.0
Very Bad Things,1998,-20101588.0
Psycho,1998,-22858870.0
